DMCC ACTIVITY SHEET,,,,,,,,,,,,
Category,Activity Code,Activity Name,Activity Name (Arabic),License Type,Description,Business Plan ,Property Type,Restrictions,DMCC Requirements,Minimum Share Capital,Third Party No Objection Certificate 1 (Regulated Activities) ,Third Party No Objection Certificate 2 (Regulated Activities) 
Professional Services,9214-09,Fine Arts Consultancies,استشارات الفنون الجميلة,Service,"Includes establishments specialized in working out studies and scientific essays and giving consultancies on fine arts and handicrafts such as drawing, sculpture, photography, glass or wood carving, pottery and metal molding etc. with the purpose of producing art works used in ornamenting houses and public halls. Included also are consultancies on the various art design of cards, postal stamps, logos, prizes, commercials etc.",Yes,Any Type,No Restriction,,"50,000 AED per company",,
Education,9214-10,Performing Arts Training Center,مركز للتدريب على الفنون الأدائية,Service,"Includes centers that offer training programs in principles and techniques associated with performance involving speech, movement, mime, characterization, improvisation and stage craft. Music, singing & dancing are included in this activity.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Personal & Community Services,9214-11,Art Gallery,صالة لعرض الاعمال الفنية,Service,"Includes Galleries which constantly show art works such as drawings, sculptures, photographs, handicraft works, masterworks etc. or allocate these works of art for holding exhibitions for artists from time to time. This also includes promotion activities for these works.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Police - Department of Protective Systems,
Professional Services,9214-15,Music Consultant,استشارات موسيقية,Service,"Includes firms which provide consultation on the organization of events such as recitals, concerts, dance, chamber music, etc., as well as consultation on instrumental education and performance. This also includes promotional activities for performers and events through a licensed media provider.",Yes,Any Type,No Restriction,,"50,000 AED per company",,
Media & Marketing,9214-18,Performing Arts & Music Festivals,تنفيذ مهرجانات الفنون الأدائية والموسيقى,Service,"Includes establishments which organize and coordinate signature festivals or events the purpose of promoting music , performing arts, musicians and performing artists, regardless of genre or audience. Performing Arts and Music Festivals may recruit technical, administrative and artistic staff to carry out festivals, and seek commercial sponsorship for its activities. Also includes promotional activities for these works such as advertising, public relations and events through a licensed media provider.",Yes,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Community Services,9241-01,Sports & Recreational Club,نادي رياضي ترفيهي,Service,"Includes clubs which have facilities to practice a number of sports and entertainment activities such as rowing, sailing, driving powerboats, ground tennis, driving sport cars, polo, swimming etc. These facilities are restricted to members against periodical subscriptions or fixed fees.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",General Authority of Youth and Sports Welfare,Dubai Police - Department of Protective Systems
Personal & Community Services,9241-03,Bowling Club,نادي بولينج,Service,"Includes sports institutions dedicated to bowling training through applying the latest theoretical and practical techniques to optimizing sporting performance and qualify players for regional and international sport excellence, the process involves emphasizing the physical, skills improving, knowledge and psychological aspects, these firms should set up the facilities that enable conducting the training.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",General Authority of Youth and Sports Welfare,
Personal & Community Services,9241-04,Martial Arts Club,نادي للتدريب على فنون الدفاع عن النفس,Service,"Includes clubs and training centers specialized in one or more of the self defence arts such as karate, judo, taekwondo, and kung fu.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",General Authority of Youth and Sports Welfare,
Personal & Community Services,9241-05,Chess Club,نادي شطرنج,Service,Includes sport clubs licensed by competent authorities and which accommodate facilities for playing chess in order to optimize chess players performance and qualify for regional and international excellence.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",General Authority of Youth and Sports Welfare,
Personal & Community Services,9241-07,Sports Services,خدمات وتعهدات رياضية,Service,"Includes firms which offer specialized services to the various sports clubs and care for them. These services include organizing contracts with trainers, inside and outside camps for the sports teams, contacting foreign sports teams, preparing and hiring grounds etc.",Yes,Any Type,No Restriction,,"50,000 AED per company",General Authority of Youth and Sports Welfare,
Personal & Community Services,9241-08,Body Building Club,نادي كمال اجسام,Service,Includes sport clubs licensed by competent authorities and which accommodate sport facilities for exercising body building in order to optimize trainees performance and qualify for regional and international sport excellence.,Yes,Retail Shop,No Restriction,,"50,000 AED per company",General Authority of Youth and Sports Welfare,
Personal & Community Services,9241-09,Men Physical Fitness Club,نادي لياقة بدنية للرجال,Service,Includes firms which offer sport exercises training for securing fitness and losing weight.,Yes,Retail Shop,No Restriction,,"50,000 AED per company",General Authority of Youth and Sports Welfare,
